province,city,lon,lat,pop,consumption,product
Jiangsu,Yangzhou,119.4194189,32.40067694,448.36,67004.7846,51728.3875
Jiangsu,Zhenjiang,119.4304894,32.19471592,317.65,50942.65274,20776.86607
Jiangxi,Fuzhou-Jx,116.3645388,27.95489225,399.28,57223.60704,155705.7577
Jiangxi,Ganzhou,114.9405034,25.8351761,854.71,123640.7356,194080.8311
Jiangxi,Ji-an,115.0005107,27.11972683,489.9,77144.50884,156958.4612
Jiangxi,Jingdezhen,117.1845764,29.27424771,164.05,32474.80931,9721.685266
Jiangxi,Jiujiang,116.0075349,29.71134056,482.58,83490.78295,32605.57962
Jiangxi,Nanchang,115.8645894,28.6894553,530.29,124403.2215,95346.6192
Jiangxi,Pingxiang,113.8614964,27.62839271,190.11,39774.71375,19178.71485
Jiangxi,Shangrao,117.9494596,28.46062592,671.51,96909.11339,69939.67404
Jiangxi,Xinyu,114.9235347,27.8235787,116.67,24929.06003,9474.673299
Jiangxi,Yichun-JX,114.4235637,27.82085642,551.2,87921.36464,79890.72756
Jiangxi,Yingtan,117.0755754,28.26578706,115.33,20942.55072,17908.3676
Liaoning,Anshan,123.0013725,41.1150536,346,37814.3507,413683.9534
Liaoning,Benxi,123.6925071,41.49291646,151.2,15413.43782,28982.29053
Liaoning,Dalian,121.6216315,38.91895367,593.6,76843.40998,381459.6495
Liaoning,Dandong,124.3615473,40.00640871,238.1,22064.025,191830.0904
Liaoning,Fushun,123.9643746,41.88596959,215.8,21129.01822,67593.31229
Liaoning,Fuxin,121.676408,42.0280219,189.5,16001.24752,116424.3639
Liaoning,Panjin,122.0732278,41.14124802,129.5,15258.40991,119904.6282
Liaoning,Shenyang,123.4559899,41.72091567,730.4,94951.65419,314591.652
Liaoning,Tieling,123.7323652,42.229948,300.4,23832.87913,226682.9462
Neimenggu,Bayannaoer,107.3943981,40.74935949,167.7,9151.502608,3669.699514
Neimenggu,Baotou,109.8465435,40.66292879,282.9,26978.89811,2913.471888
Neimenggu,Chifeng,118.8955204,42.2616861,429.95,18237.82992,64675.86234
Neimenggu,Huhehaote,111.7555086,40.848423,305.96,21058.7884,3049.789822
Neimenggu,Tongliao,122.2505218,43.65798008,312.08,13728.84384,94418.46592
Neimenggu,Wuhai,106.800391,39.66200636,55.58,5026.157532,450.2120054
Neimenggu,Wulanchabu,113.1394677,41.00074833,211.13,11103.71189,9648.510799
Ningxia,Guyuan,106.2485774,36.02161726,121.18,15937.02225,3170.362007
Ningxia,Zhongwei,105.2035709,37.50570142,114.16,18932.96265,4422.650336
Qinghai,Haibei,100.9074343,36.96066282,29.7,2381.797958,273.71134
Qinghai,Haidong,102.1104441,36.50851108,170.02,13090.8391,4659.619428
Qinghai,Hainanzhou,100.6266211,36.29210248,46.69,3660.106979,1094.84536
Qinghai,Haixizhou,97.37629912,37.38275046,40.21,4342.414742,281.4617356
Qinghai,Xining,101.7844502,36.6233847,201.36,25642.44547,2257.60866
Shandong,Binzhou,117.977404,37.3881962,385.9,27001.69989,136181.3587
Shandong,Dezhou,116.3655567,37.44130845,574.23,30854.13269,115240.2332
Shandong,Dongying,118.6813849,37.43964183,211.06,19099.81539,57187.88705
Shandong,Heze,115.487545,35.23940742,850.03,40412.58206,83748.28615
Shandong,Jinan,117.1263994,36.6565542,713.2,70927.37196,53090.29696
Shandong,Jining,116.5936123,35.42017739,829.92,50826.48688,155592.0171
Shandong,Laiwu,117.6846669,36.23365413,135.16,9210.387004,14265.79487
Shandong,Liaocheng,115.9915878,36.46275819,597.06,28200.01273,188661.3414
Shandong,Linyi,118.363533,35.11067124,1031.16,51189.95119,159541.6376
Shandong,Qingdao,120.3894552,36.0722275,909.7,94552.03589,186327.0316
Shandong,Taian,117.0944948,36.20585804,560.08,35390.22298,84368.44578
Shandong,Weihai,122.127541,37.51643055,280.53,25032.49877,51301.43807
Shandong,Weifang,119.1683779,36.71265155,927.72,66174.57734,418721.7401
Shandong,Yantai,121.4544154,37.47003838,701.41,62049.30933,120251.2195
Shandong,Rizhao,117.0274416,36.67485665,288,17010.9491,79799.53436
Shandong,Zaozhuang,117.3305419,34.81599405,387.8,21676.63059,70647.13658
Shandong,Zibo,118.0614525,36.81908568,464.2,40870.13518,48351.69829
Shanxi,Datong,113.3064363,40.08246872,340.64,8923.920415,13853.62644
Shanxi,Jincheng,112.8585782,35.49628459,231.5,8493.840118,24788.06103
Shanxi,Jinzhong,112.7595948,37.69283941,333.57,9927.436552,41819.98916
Shanxi,Linfen,111.5255302,36.0937419,443.57,11918.09354,31046.06805
Shanxi,Lvliang,111.1504497,37.52449775,383.22,9693.450032,40742.60826
Shanxi,Shuozhou,112.4393709,39.33710837,176.22,5341.158797,8856.396233
Shanxi,Taiyuan,112.5563915,37.87698903,431.87,17897.04144,11607.22278
